Muster;Bauchfarbe;Augenfarbe;Schuppenfarbe;Flossenfarbe;Größe;Angelfarbe;Zähne;Label
Ohne;Weiß;Grün;Grün;Gelb;Groß;Gelb;Ja;Feindselig
Kreuze;Schwarz;Rot;Blau;Rot;Klein;Gelb;Ja;Friedlich
Gestreift;Weiß;Grün;Blau;Gelb;Mittel;Rot;Ja;Feindselig
Ohne;Weiß;Grün;Blau;Gelb;Klein;Gelb;Nein;Feindselig
Kreuze;Violett;Weiß;Orange;Rot;Mittel;Grün;Nein;Feindselig
Wellen;Schwarz;Grün;Blau;Rot;Groß;Rot;Ja;Friedlich
Ohne;Weiß;Grün;Grün;Rot;Groß;Gelb;Nein;Friedlich
Gestreift;Weiß;Grün;Grün;Rot;Mittel;Gelb;Nein;Friedlich
Gestreift;Violett;Weiß;Blau;Gelb;Klein;Gelb;Nein;Feindselig
Gestreift;Violett;Grün;Orange;Rot;Mittel;Gelb;Nein;Feindselig
Gestreift;Schwarz;Weiß;Orange;Rot;Mittel;Gelb;Nein;Feindselig
Ohne;Violett;Weiß;Orange;Gelb;Klein;Rot;Nein;Feindselig
Gestreift;Weiß;Grün;Blau;Gelb;Mittel;Rot;Nein;Feindselig
Gestreift;Violett;Weiß;Blau;Gelb;Mittel;Rot;Nein;Feindselig
Gepunktet;Weiß;Grün;Orange;Rot;Groß;Grün;Nein;Friedlich
Wellen;Schwarz;Rot;Blau;Rot;Mittel;Rot;Ja;Friedlich
Gestreift;Weiß;Weiß;Blau;Gelb;Groß;Gelb;Nein;Feindselig
Wellen;Schwarz;Rot;Blau;Rot;Mittel;Grün;Nein;Feindselig
Gestreift;Schwarz;Grün;Blau;Rot;Groß;Gelb;Ja;Friedlich
Ohne;Weiß;Weiß;Blau;Rot;Klein;Rot;Nein;Friedlich
Ohne;Weiß;Grün;Blau;Rot;Klein;Rot;Nein;Friedlich
Wellen;Violett;Grün;Grün;Rot;Mittel;Gelb;Nein;Feindselig
Gepunktet;Violett;Weiß;Orange;Rot;Groß;Grün;Nein;Feindselig
Gepunktet;Weiß;Rot;Blau;Rot;Groß;Rot;Nein;Friedlich
Wellen;Weiß;Weiß;Grün;Rot;Mittel;Grün;Nein;Friedlich
Gepunktet;Weiß;Weiß;Orange;Rot;Klein;Gelb;Nein;Friedlich
Ohne;Violett;Weiß;Blau;Rot;Groß;Rot;Nein;Friedlich
Gepunktet;Weiß;Weiß;Blau;Rot;Groß;Gelb;Nein;Friedlich
Gepunktet;Schwarz;Weiß;Blau;Rot;Klein;Grün;Ja;Friedlich
Kreuze;Weiß;Weiß;Blau;Rot;Klein;Grün;Ja;Friedlich
Gepunktet;Violett;Grün;Blau;Rot;Klein;Rot;Nein;Friedlich
Kreuze;Violett;Grün;Blau;Rot;Mittel;Rot;Ja;Friedlich
Gestreift;Weiß;Weiß;Blau;Rot;Klein;Grün;Ja;Friedlich
Gestreift;Violett;Grün;Grün;Rot;Klein;Rot;Nein;Friedlich
Gepunktet;Violett;Rot;Orange;Gelb;Klein;Gelb;Ja;Feindselig
Gepunktet;Schwarz;Rot;Blau;Gelb;Groß;Gelb;Nein;Feindselig
Gestreift;Violett;Grün;Grün;Rot;Mittel;Rot;Nein;Feindselig
Ohne;Schwarz;Weiß;Blau;Rot;Mittel;Gelb;Ja;Friedlich
Ohne;Schwarz;Weiß;Orange;Gelb;Mittel;Grün;Ja;Feindselig
Wellen;Schwarz;Rot;Blau;Rot;Mittel;Rot;Ja;Friedlich
Gestreift;Weiß;Weiß;Orange;Gelb;Mittel;Gelb;Nein;Feindselig
Kreuze;Weiß;Grün;Blau;Rot;Klein;Gelb;Nein;Friedlich
